RECY-B.ST	RECYCTEC HLDG -B-	0
REHA-B.ST	REHACT -B-	0
REJL-B.ST	Rejlerkoncernen AB	0
RES-B.ST	RESURS CNC	0
REZT.ST	Rezidor Hotel Group AB	0
RFIG.ST	RADIO FREQ INV GRP	0
RLS-BTA.ST	RLS GLOBAL I12	0
RLS.ST	RLS GLOBAL	0
RNBS-BTA.ST	RNB RET&BRA I08	0
RNBS.ST	Rnb Retail And Brands	0
ROSF-B.ST	ReadSoft AB	0
RROS.ST	Rottneros AB	0
RSOF-B.ST	ReadSoft AB	0
RSOFB.ST	ReadSoft AB	0
RTIM-B.ST	Rorvik Timber AB	0
RTIMB.ST	Rorvik Timber Ab	0
RUN.ST	RUNAWARE	0
RURI-B.ST	RURIC -B-	0
RUSF.ST	RUSFOREST	0
SAAB-B.ST	Saab AB	0
SAABB.ST	Saab AB	0
SAEK.ST	Saki	0
SAFE.ST	SAFE AT SEA	0
SAGA-PREF.ST	SAGAX	0
SAGA.ST	AB Sagax	0
SAND.ST	Sandvik AB	0
SAS.ST	SAS	0
SBC.ST	SBC Sveriges BostadsrattsCentrum AB	0
SBOK.ST	SCANDBOOK	0
SCA-A.ST	Svenska Cellulosa AB	0
SCA-B.ST	SCA Sv Cellulosa	0
SCAA.ST	SVENSKA CELLULOSA SCA AB	0
SCAB.ST	SCA Sv Cellulosa	0
SCH-O.ST	Schibsted ASA	0
SCIR-B.ST	SCIROCCO -B-	0
SCMI-BTA-1.ST	SCANMINING I07 -1-	0
SCMI.ST	ScanMining AB	0
SCOR-A.ST	SwitchCore AB	0
SCOR-B.ST	SWITCHCORE -B-	0
SCOR.ST	Switchcore AB	0
SCRI-A.ST	Scribona AB	0
SCRI-B.ST	SCRIBONA -B-	0
SCRIA.ST	Scribona AB	0
SCRIB.ST	SCRIBONA -B-	0
SCV-A.ST	Scania AB	0
SCV-B.ST	Scania AB	0
SCV-IL-A.ST	SCANIA -A- RED.08	0
SCV-IL-B.ST	SCANIA -B- RED 08	0
SCVA.ST	SCANIA -A-	0
SDAB-B.ST	Seamless Distribution AB	0
SDRLO.ST	Seadrill Ltd	0
SEAB-B.ST	SKANSKA ENERGI -B-	0
SEAM-BTA.ST	SEAMLESS DISTR I12	0
SEAN-BTA-1.ST	SEANET MARIT I09/1	0
SEAN.ST	SEANET MARI COMMUN	0
SEB-A.ST	Skandinaviska Enskilda Banken AB	0
SEB-C.ST	Skandinaviska Enskilda Banken AB	0
SEBA.ST	S E Banken	0
