AAK.ST|AarhusKarlshamn AB
CBA.ST	CYBAERO
AF-B.ST	AF AB
TAGR.ST	TRIGON AGRI
ACCE-B.ST	Accelerator i Linkoping AB
CCOR-B.ST	Concordia Maritime AB
CPNT.ST	CELLPOINT CONNECT
TAGM-B.ST	TagMaster AB
TETY.ST	Tethys Oil AB
ARCH-B.ST	ARCHELON MINERA -B-
AQLV.ST	AQUALIV
HAKN.ST	Hakon Invest AB
HOB-B.ST	HEART OF BRANDS -B-
SCA-A.ST	SVENSKA CELLULOSA-A
IFS-B.ST	Industrial & Financial Sy
NN-B.ST	Nordnet Ab
RURI-B.ST	Russian Real Estate Investment Co.
LUCE.ST	LUCENT OIL
WIKM.ST	WIKING MINERAL
TAUR-B.ST	TAURUS ENERGY -B-
ACTI.ST	Active Biotech AB
TIGR.ST	TIGRAN TECHNOLOG.
CNTA.ST	Connecta AB
STVA-B.ST	STAR VAULT -B-
TPEP.ST	Tripep Holding AB
GIM.ST	GETUPDATED INT MKT
SCRI-B.ST	SCRIBONA -B-
ENEA.ST	Enea Ab
BLIN.ST	Biolin Ab
BILI-A.ST	Bilia AB
CARD.ST	Cardo AB
SMAQ-B.ST	Smarteq AB
ORX.ST	Orexo AB
PREV-B.ST	Prevas AB
JLT.ST	Jlt Mobile Computers Ab
RBET.ST	Redbet Holding AB
RABT-B.ST	Rederi AB Transatlantic
RUN.ST	RUNAWARE
BIOG-B.ST	Biogaia Ab
EDIC-B.ST	EDI COMP
ENDO.ST	ENDOMINES
NSP-B.ST	Nordic Service Partners Holding AB
CAPL.ST	CATERING PL I SKAND
ANOD-B.ST	AddNode AB
SYSE.ST	SYSTEMSEPARATION
ODD.ST	ODD MOLLY INT
EVIP-B.ST	EUROVIP GROUP -B-
AZA.ST	Avanza Bank Holding AB
LBI.ST	LBI International AB
SCMI-BTA-1.ST	SCANMINING I07 -1-
PRCO-B.ST	PRECIO SYS -B-
SERS-B.ST	SWEDE RESOURCES -B-
BBTO-B.ST	B&B TOOLS AB
EUCI.ST	EUROCINE VACCINES
FPIP.ST	FormPipe Software AB
BORG.ST	Bjorn Borg AB
PART.ST	Partner Tech
AERO-B.ST	AEROCRINE -B-
OPCO.ST	Opcon AB
ELN.ST	ELLEN
HEMX.ST	Hemtex AB
INTO-B.ST	Intoi AB
CLAS-B.ST	Clas Ohlson Ab
IBS-B.ST	IBS AB
TWW-SDB-A.ST	TRANSCOM WW -A- SDR
BEO-SDB.ST	BEOWULF MIN SDB
SDAB-B.ST	Seamless Distribution AB
HIFA-B.ST	Hifab Group AB
AFFS-B.ST	Affarsstrategerna
